METADATA|Position|SourceSystemOwner|SourceSystemId|EffectiveStartDate|PositionCode|BusinessUnitName|Name|ActiveStatus|DepartmentId|JobId|LocationId|FullPartTime|RegularTemporary|HiringStatus|PositionType|FTE|HeadCount|WorkingHours|Frequency
MERGE|Position|ALTAHRN01|131424|1951/01/01|131424|UOB Business Unit|PTAC Advisor|A|300000001922212|300000009529210|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131425|1951/01/01|131425|UOB Business Unit|PTAC Advisor|A|300000001922212|300000009529210|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131426|1951/01/01|131426|UOB Business Unit|PTAC Advisor|A|300000001922212|300000009529210|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131427|1951/01/01|131427|UOB Business Unit|PTAC Advisor|A|300000001922212|300000009529210|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131428|1951/01/01|131428|UOB Business Unit|PTAC Advisor|A|300000001922212|300000009529210|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131429|1951/01/01|131429|UOB Business Unit|PTAC Advisor|A|300000001922212|300000009529210|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131430|1951/01/01|131430|UOB Business Unit|PTAC Advisor|A|300000001922212|300000009529210|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131431|1951/01/01|131431|UOB Business Unit|PTAC Advisor|A|300000001922212|300000009529210|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131432|1951/01/01|131432|UOB Business Unit|PTAC Advisor|A|300000001922212|300000009529210|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131447|1951/01/01|131447|UOB Business Unit|POD Consultant|A|300000001922212|300000009529219|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131448|1951/01/01|131448|UOB Business Unit|POD Consultant|A|300000001922212|300000009529219|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131449|1951/01/01|131449|UOB Business Unit|POD Consultant|A|300000001922212|300000009529219|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131450|1951/01/01|131450|UOB Business Unit|POD Consultant|A|300000001922212|300000009529219|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131451|1951/01/01|131451|UOB Business Unit|POD Consultant|A|300000001922212|300000009529219|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131452|1951/01/01|131452|UOB Business Unit|POD Consultant|A|300000001922212|300000009529219|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131453|1951/01/01|131453|UOB Business Unit|POD Consultant|A|300000001922212|300000009529219|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131454|1951/01/01|131454|UOB Business Unit|POD Consultant|A|300000001922212|300000009529219|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131455|1951/01/01|131455|UOB Business Unit|POD Consultant|A|300000001922212|300000009529219|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131456|1951/01/01|131456|UOB Business Unit|POD Consultant|A|300000001922212|300000009529219|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131457|1951/01/01|131457|UOB Business Unit|POD Consultant|A|300000001922212|300000009529219|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131458|1951/01/01|131458|UOB Business Unit|POD Consultant|A|300000001922212|300000009529219|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131459|1951/01/01|131459|UOB Business Unit|POD Consultant|A|300000001922212|300000009529219|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131474|1951/01/01|131474|UOB Business Unit|Equality and Diversity Specialist|A|300000001922212|300000009529225|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
