METADATA|Worker|SourceSystemOwner|SourceSystemId|EffectiveStartDate|EffectiveEndDate|PersonNumber|StartDate|DateOfBirth|ActionCode
MERGE|Worker|ALTAHRN01|6026959|2014/10/01|4712/12/31|6026959|2014/10/01|1983/05/10|HIRE
MERGE|Worker|ALTAHRN01|6028075|2014/08/18|4712/12/31|6028075|2014/08/18|1979/08/04|HIRE
MERGE|Worker|ALTAHRN01|6028196|1999/12/31|4712/12/31|6028196|1999/12/31|1943/01/05|HIRE
MERGE|Worker|ALTAHRN01|6028730|2006/02/13|4712/12/31|6028730|2006/02/13|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|6029439|1999/01/01|4712/12/31|6029439|1999/01/01|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|6031143|2014/10/01|4712/12/31|6031143|2014/10/01|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|6031887|2002/11/04|4712/12/31|6031887|2002/11/04|1960/06/01|HIRE
MERGE|Worker|ALTAHRN01|6032121|2014/10/01|4712/12/31|6032121|2014/10/01|1978/10/20|HIRE
MERGE|Worker|ALTAHRN01|6033625|2014/10/01|4712/12/31|6033625|2014/10/01|1983/05/10|HIRE
MERGE|Worker|ALTAHRN01|6034378|2000/07/03|4712/12/31|6034378|2000/07/03|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|6035309|2014/10/01|4712/12/31|6035309|2014/10/01|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|6036201|2014/10/01|4712/12/31|6036201|2014/10/01|1986/09/03|HIRE
MERGE|Worker|ALTAHRN01|6036241|2014/10/01|4712/12/31|6036241|2014/10/01|1963/05/11|HIRE
MERGE|Worker|ALTAHRN01|6036600|2014/10/01|4712/12/31|6036600|2014/10/01|1985/03/01|HIRE
MERGE|Worker|ALTAHRN01|6038181|2003/09/22|4712/12/31|6038181|2003/09/22|1977/06/21|HIRE
MERGE|Worker|ALTAHRN01|6038202|2014/10/01|4712/12/31|6038202|2014/10/01|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|6038707|2008/11/03|4712/12/31|6038707|2008/11/03|1969/02/15|HIRE
MERGE|Worker|ALTAHRN01|6038869|2014/10/01|4712/12/31|6038869|2014/10/01|1964/09/26|HIRE
MERGE|Worker|ALTAHRN01|6038872|2001/06/04|4712/12/31|6038872|2001/06/04|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|6042193|2001/09/01|4712/12/31|6042193|2001/09/01|1979/09/18|HIRE
MERGE|Worker|ALTAHRN01|6042221|2004/03/29|4712/12/31|6042221|2004/03/29|1954/12/22|HIRE
MERGE|Worker|ALTAHRN01|6042348|2016/05/16|4712/12/31|6042348|2016/05/16|1972/02/23|HIRE
MERGE|Worker|ALTAHRN01|6043757|2003/09/24|4712/12/31|6043757|2003/09/24|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|6043835|2014/10/01|4712/12/31|6043835|2014/10/01|1966/03/07|HIRE
MERGE|Worker|ALTAHRN01|6044616|2000/02/01|4712/12/31|6044616|2000/02/01|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|6044835|2014/10/01|4712/12/31|6044835|2014/10/01|1983/05/10|HIRE
MERGE|Worker|ALTAHRN01|6045118|2016/01/11|4712/12/31|6045118|2016/01/11|1984/02/25|HIRE
MERGE|Worker|ALTAHRN01|6045675|2011/09/19|4712/12/31|6045675|2011/09/19|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|6045809|2014/10/01|4712/12/31|6045809|2014/10/01|1964/01/07|HIRE
MERGE|Worker|ALTAHRN01|6046102|2015/10/12|4712/12/31|6046102|2015/10/12|1974/11/30|HIRE
MERGE|Worker|ALTAHRN01|6050351|2016/07/25|4712/12/31|6050351|2016/07/25|1972/03/30|HIRE
MERGE|Worker|ALTAHRN01|6050736|2014/10/01|4712/12/31|6050736|2014/10/01|1984/08/05|HIRE
MERGE|Worker|ALTAHRN01|6050787|2014/10/01|4712/12/31|6050787|2014/10/01|1983/05/10|HIRE
MERGE|Worker|ALTAHRN01|6051734|2011/03/01|4712/12/31|6051734|2011/03/01|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|6052239|2014/10/01|4712/12/31|6052239|2014/10/01|1954/07/05|HIRE
MERGE|Worker|ALTAHRN01|6052264|2011/09/19|4712/12/31|6052264|2011/09/19|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|6053605|1997/02/03|4712/12/31|6053605|1997/02/03|1963/06/17|HIRE
MERGE|Worker|ALTAHRN01|6053682|2002/10/21|4712/12/31|6053682|2002/10/21|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|6053960|2000/10/16|4712/12/31|6053960|2000/10/16|1973/04/10|HIRE
MERGE|Worker|ALTAHRN01|6055183|2003/07/01|4712/12/31|6055183|2003/07/01|1964/03/13|HIRE
MERGE|Worker|ALTAHRN01|6055184|1998/08/03|4712/12/31|6055184|1998/08/03|1979/07/23|HIRE
MERGE|Worker|ALTAHRN01|6056178|2014/10/01|4712/12/31|6056178|2014/10/01|1981/07/23|HIRE
MERGE|Worker|ALTAHRN01|6057961|1998/01/01|4712/12/31|6057961|1998/01/01|1953/07/04|HIRE
MERGE|Worker|ALTAHRN01|6058502|2014/10/01|4712/12/31|6058502|2014/10/01|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|6058528|2001/01/08|4712/12/31|6058528|2001/01/08|1963/11/08|HIRE
MERGE|Worker|ALTAHRN01|6059238|2014/10/01|4712/12/31|6059238|2014/10/01|1975/07/20|HIRE
MERGE|Worker|ALTAHRN01|6059444|2001/09/01|4712/12/31|6059444|2001/09/01|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|6059611|1999/12/31|4712/12/31|6059611|1999/12/31|1968/03/18|HIRE
MERGE|Worker|ALTAHRN01|6060449|1998/01/01|4712/12/31|6060449|1998/01/01|1974/05/25|HIRE
MERGE|Worker|ALTAHRN01|6061857|2014/10/01|4712/12/31|6061857|2014/10/01|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|6062186|2011/09/12|4712/12/31|6062186|2011/09/12|1983/05/10|HIRE
MERGE|Worker|ALTAHRN01|6062704|2001/04/30|4712/12/31|6062704|2001/04/30|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|6062734|2001/09/03|4712/12/31|6062734|2001/09/03|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|6063967|2008/04/07|4712/12/31|6063967|2008/04/07|1980/07/06|HIRE
MERGE|Worker|ALTAHRN01|6064531|2014/10/01|4712/12/31|6064531|2014/10/01|1984/11/22|HIRE
MERGE|Worker|ALTAHRN01|6064641|2015/10/01|4712/12/31|6064641|2015/10/01|1983/05/10|HIRE
MERGE|Worker|ALTAHRN01|6065619|2015/07/01|4712/12/31|6065619|2015/07/01|1985/06/02|HIRE
MERGE|Worker|ALTAHRN01|6065665|1999/04/01|4712/12/31|6065665|1999/04/01|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|6066859|1999/12/31|4712/12/31|6066859|1999/12/31|1978/10/17|HIRE
MERGE|Worker|ALTAHRN01|6067139|2002/08/01|4712/12/31|6067139|2002/08/01|1981/07/23|HIRE
MERGE|Worker|ALTAHRN01|6067198|2014/10/01|4712/12/31|6067198|2014/10/01|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|6068202|2000/02/28|4712/12/31|6068202|2000/02/28|1979/09/18|HIRE
MERGE|Worker|ALTAHRN01|6068287|2005/04/01|4712/12/31|6068287|2005/04/01|1969/02/15|HIRE
MERGE|Worker|ALTAHRN01|6068472|2003/11/03|4712/12/31|6068472|2003/11/03|1959/07/16|HIRE
MERGE|Worker|ALTAHRN01|6068548|2014/10/01|4712/12/31|6068548|2014/10/01|1978/03/03|HIRE
MERGE|Worker|ALTAHRN01|6068595|2008/04/07|4712/12/31|6068595|2008/04/07|1966/08/14|HIRE
MERGE|Worker|ALTAHRN01|6069219|1999/04/08|4712/12/31|6069219|1999/04/08|1961/08/08|HIRE
MERGE|Worker|ALTAHRN01|6069623|2014/10/01|4712/12/31|6069623|2014/10/01|1979/08/04|HIRE
MERGE|Worker|ALTAHRN01|6069793|2014/10/01|4712/12/31|6069793|2014/10/01|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|6070385|2014/10/01|4712/12/31|6070385|2014/10/01|1960/06/01|HIRE
MERGE|Worker|ALTAHRN01|6070387|2014/10/01|4712/12/31|6070387|2014/10/01|1955/05/27|HIRE
MERGE|Worker|ALTAHRN01|6070836|2002/10/04|4712/12/31|6070836|2002/10/04|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|6071105|2006/08/01|4712/12/31|6071105|2006/08/01|1961/09/12|HIRE
MERGE|Worker|ALTAHRN01|6071125|2014/10/01|4712/12/31|6071125|2014/10/01|1972/03/30|HIRE
MERGE|Worker|ALTAHRN01|6071603|2014/10/01|4712/12/31|6071603|2014/10/01|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|6071636|2014/05/19|4712/12/31|6071636|2014/05/19|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|6071897|2013/12/01|4712/12/31|6071897|2013/12/01|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|6071926|2016/08/08|4712/12/31|6071926|2016/08/08|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|6072139|1999/01/01|4712/12/31|6072139|1999/01/01|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|6072438|2014/10/01|4712/12/31|6072438|2014/10/01|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|6072829|1996/09/09|4712/12/31|6072829|1996/09/09|1983/05/10|HIRE
MERGE|Worker|ALTAHRN01|6073163|1997/06/02|4712/12/31|6073163|1997/06/02|1984/02/25|HIRE
MERGE|Worker|ALTAHRN01|6073857|2000/06/01|4712/12/31|6073857|2000/06/01|1983/05/10|HIRE
MERGE|Worker|ALTAHRN01|6073904|2014/10/01|4712/12/31|6073904|2014/10/01|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|6074580|2012/06/01|4712/12/31|6074580|2012/06/01|1978/05/25|HIRE
MERGE|Worker|ALTAHRN01|6074846|2014/10/01|4712/12/31|6074846|2014/10/01|1955/10/24|HIRE
MERGE|Worker|ALTAHRN01|6074907|2014/10/01|4712/12/31|6074907|2014/10/01|1951/05/11|HIRE
MERGE|Worker|ALTAHRN01|6075160|2002/09/02|4712/12/31|6075160|2002/09/02|1968/08/22|HIRE
MERGE|Worker|ALTAHRN01|6075319|2002/01/28|4712/12/31|6075319|2002/01/28|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|6075327|2007/01/01|4712/12/31|6075327|2007/01/01|1955/11/02|HIRE
MERGE|Worker|ALTAHRN01|6076803|2009/08/01|4712/12/31|6076803|2009/08/01|1976/02/07|HIRE
MERGE|Worker|ALTAHRN01|6077085|2014/10/01|4712/12/31|6077085|2014/10/01|1964/03/22|HIRE
MERGE|Worker|ALTAHRN01|6077402|2014/10/01|4712/12/31|6077402|2014/10/01|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|6077598|2009/02/09|4712/12/31|6077598|2009/02/09|1973/02/13|HIRE
MERGE|Worker|ALTAHRN01|6077940|2008/04/07|4712/12/31|6077940|2008/04/07|1976/12/27|HIRE
MERGE|Worker|ALTAHRN01|6078166|2016/09/05|4712/12/31|6078166|2016/09/05|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|6078572|2006/09/01|4712/12/31|6078572|2006/09/01|1976/05/07|HIRE
MERGE|Worker|ALTAHRN01|6078703|1998/02/01|4712/12/31|6078703|1998/02/01|1953/07/15|HIRE
MERGE|Worker|ALTAHRN01|6079523|1998/01/01|4712/12/31|6079523|1998/01/01|1983/05/10|HIRE
MERGE|Worker|ALTAHRN01|6079862|2016/08/08|4712/12/31|6079862|2016/08/08|1969/01/09|HIRE
