METADATA|PersonCitizenship|SourceSystemOwner|SourceSystemId|PersonId(SourceSystemId)|DateFrom|DateTo|LegislationCode|CitizenshipStatus
MERGE|PersonCitizenship|ALTAHRN01|5506730_CITIZEN|5506730|1959/08/25|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5506737_CITIZEN|5506737|1973/12/12|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5506779_CITIZEN|5506779|1953/02/23|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5506802_CITIZEN|5506802|1959/12/25|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5506828_CITIZEN|5506828|1967/10/26|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5506836_CITIZEN|5506836|1969/10/13|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5506945_CITIZEN|5506945|1953/04/03|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5506946_CITIZEN|5506946|1972/10/09|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5506959_CITIZEN|5506959|1951/03/05|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5507025_CITIZEN|5507025|1972/03/18|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5507037_CITIZEN|5507037|1952/12/11|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5507120_CITIZEN|5507120|1951/03/05|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5507122_CITIZEN|5507122|1959/07/07|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5507177_CITIZEN|5507177|1967/08/03|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5507236_CITIZEN|5507236|1972/10/09|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5507278_CITIZEN|5507278|1962/09/10|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5507305_CITIZEN|5507305|1930/12/03|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5507328_CITIZEN|5507328|1957/12/18|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5507344_CITIZEN|5507344|1957/01/11|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5507406_CITIZEN|5507406|1963/06/17|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5507488_CITIZEN|5507488|1955/05/27|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5507495_CITIZEN|5507495|1953/07/02|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5507542_CITIZEN|5507542|1971/12/29|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5507629_CITIZEN|5507629|1958/03/07|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5507654_CITIZEN|5507654|1954/05/19|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5507737_CITIZEN|5507737|1956/07/05|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5507805_CITIZEN|5507805|1966/01/29|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5507846_CITIZEN|5507846|1956/07/05|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5507855_CITIZEN|5507855|1960/02/23|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5507895_CITIZEN|5507895|1971/04/26|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5507974_CITIZEN|5507974|1955/10/24|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5508045_CITIZEN|5508045|1958/05/03|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5508098_CITIZEN|5508098|1963/01/29|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5508126_CITIZEN|5508126|1953/10/14|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5508147_CITIZEN|5508147|1958/12/31|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5508149_CITIZEN|5508149|1960/02/23|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5508172_CITIZEN|5508172|1964/04/27|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5508189_CITIZEN|5508189|1965/05/11|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5508209_CITIZEN|5508209|1970/02/19|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5508215_CITIZEN|5508215|1962/03/17|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5508269_CITIZEN|5508269|1969/11/07|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5508303_CITIZEN|5508303|1961/10/14|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5508307_CITIZEN|5508307|1960/04/28|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5508378_CITIZEN|5508378|1953/04/25|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5508382_CITIZEN|5508382|1970/07/14|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5508387_CITIZEN|5508387|1963/05/31|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5508417_CITIZEN|5508417|1969/05/31|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5508432_CITIZEN|5508432|1963/11/01|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5508443_CITIZEN|5508443|1966/11/07|4712/12/31|GB|A
