METADATA|Assignment|SourceSystemOwner|SourceSystemId|ActionCode|EffectiveStartDate|EffectiveEndDate|EffectiveSequence|EffectiveLatestChange|WorkTermsAssignmentId(SourceSystemId)|AssignmentName|AssignmentNumber|AssignmentStatusTypeCode|PersonTypeCode|PositionId(SourceSystemId)|BusinessUnitShortCode|LocationCode|JobCode|PrimaryAssignmentFlag
MERGE|Assignment|ALTAHRN01|5508631_EMP_ASG|HIRE|1982/01/01|4712/12/31|1|Y|5508631_EMP_TERM|5508631|5508631|ACTIVE_PROCESS|Employee|131388|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5508794_EMP_ASG|HIRE|1978/10/23|4712/12/31|1|Y|5508794_EMP_TERM|5508794|5508794|ACTIVE_PROCESS|Employee|131389|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5508827_EMP_ASG|HIRE|1983/10/01|4712/12/31|1|Y|5508827_EMP_TERM|5508827|5508827|ACTIVE_PROCESS|Employee|131390|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5508847_EMP_ASG|HIRE|2001/11/05|4712/12/31|1|Y|5508847_EMP_TERM|5508847|5508847|ACTIVE_PROCESS|Employee|131391|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5508883_EMP_ASG|HIRE|1979/07/04|4712/12/31|1|Y|5508883_EMP_TERM|5508883|5508883|ACTIVE_PROCESS|Employee|131392|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5508896_EMP_ASG|HIRE|1983/10/01|4712/12/31|1|Y|5508896_EMP_TERM|5508896|5508896|ACTIVE_PROCESS|Employee|131393|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5508928_EMP_ASG|HIRE|2014/08/01|4712/12/31|1|Y|5508928_EMP_TERM|5508928|5508928|ACTIVE_PROCESS|Employee|131394|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5508956_EMP_ASG|HIRE|1999/12/31|4712/12/31|1|Y|5508956_EMP_TERM|5508956|5508956|ACTIVE_PROCESS|Employee|131395|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5508965_EMP_ASG|HIRE|2012/01/30|4712/12/31|1|Y|5508965_EMP_TERM|5508965|5508965|ACTIVE_PROCESS|Employee|131396|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
MERGE|Assignment|ALTAHRN01|5508981_EMP_ASG|HIRE|1992/10/12|4712/12/31|1|Y|5508981_EMP_TERM|5508981|5508981|ACTIVE_PROCESS|Employee|131397|UOB Business Unit|University of Birmingham|SUB_MAT_EXP_SP|Y
